time,user,hostname,pipeline,resize,detector_pre,detector_model,detector_post,extract_roi,landmark_pre,landmark_model,landmark_post,annotate,total,fps
2024-10-21 21:36:54.275365,root,maaxboardosm93,blaze_tflite,0.00618726999999808,0.00022550500000306783,0.008251276000009966,0.005838054000037118,0.0,0.0,0.0,0.0,0.0,0.020502105000048232,48.77547939578143
2024-10-21 21:36:54.309946,root,maaxboardosm93,blaze_tflite,0.006221895000010136,0.00021496300001899726,0.008021686999995836,0.005722967999986395,0.0,0.0,0.0,0.0,0.0,0.020181513000011364,49.5502988303918
2024-10-21 21:36:54.343160,root,maaxboardosm93,blaze_tflite,0.005408334999970066,0.0002418810000222038,0.008324444999971092,0.005944806000002245,0.0,0.0,0.0,0.0,0.0,0.019919466999965607,50.20214647318257
2024-10-21 21:36:54.372385,root,maaxboardosm93,blaze_tflite,0.004958823999970718,0.00021496300001899726,0.008130648999951973,0.005885137999996459,0.0,0.0,0.0,0.0,0.0,0.019189573999938148,52.11163103481209
2024-10-21 21:36:54.406299,root,maaxboardosm93,blaze_tflite,0.005309791000001951,0.0002553809999881196,0.008026938000000428,0.0053822510000145485,0.0,0.0,0.0,0.0,0.0,0.018974361000005047,52.70269707631967
2024-10-21 21:36:54.438976,root,maaxboardosm93,blaze_tflite,0.005269039999973302,0.0002180049999651601,0.008145690999981525,0.005644131999986257,0.0,0.0,0.0,0.0,0.0,0.019276867999906244,51.87564701925975
2024-10-21 21:36:54.470791,root,maaxboardosm93,blaze_tflite,0.005259330999990652,0.00022162999999864041,0.008091564000039853,0.005327207999982875,0.0,0.0,0.0,0.0,0.0,0.01889973300001202,52.91080038005637
2024-10-21 21:36:54.505095,root,maaxboardosm93,blaze_tflite,0.004925782000043455,0.00021679700000731827,0.008053437999990365,0.005566380000004756,0.0,0.0,0.0,0.0,0.0,0.018762397000045894,53.29809405469642
2024-10-21 21:36:54.539214,root,maaxboardosm93,blaze_tflite,0.005357250000031399,0.0002148390000229483,0.008122522999997273,0.005659299000001283,0.0,0.0,0.0,0.0,0.0,0.019353911000052904,51.669143254676875
2024-10-21 21:36:54.571382,root,maaxboardosm93,blaze_tflite,0.005298083000013776,0.00021083799998677932,0.008169190999979037,0.005971431999967081,0.0,0.0,0.0,0.0,0.0,0.019649543999946673,50.89176624163461
2024-10-21 21:36:54.606921,root,maaxboardosm93,blaze_tflite,0.005353375000026972,0.0002217969999946945,0.008121147999986533,0.005415917999982867,0.0,0.0,0.0,0.0,0.0,0.019112237999991066,52.32249619330125
2024-10-21 21:36:54.638933,root,maaxboardosm93,blaze_tflite,0.005327000000022508,0.00021579600002041843,0.008173065999983464,0.005483294999976351,0.0,0.0,0.0,0.0,0.0,0.019199157000002742,52.08562021758857
2024-10-21 21:36:54.670675,root,maaxboardosm93,blaze_tflite,0.005152953999981946,0.00021196300002657154,0.008154898999976012,0.00540358500001048,0.0,0.0,0.0,0.0,0.0,0.01892340099999501,52.844623437418235
2024-10-21 21:36:54.706911,root,maaxboardosm93,blaze_tflite,0.005287415999987388,0.00021296400001347138,0.008139399000015146,0.005561796999984381,0.0,0.0,0.0,0.0,0.0,0.019201576000000387,52.079058510612874
2024-10-21 21:36:54.738937,root,maaxboardosm93,blaze_tflite,0.005343792000019221,0.00022121400002106384,0.008107357000028514,0.005466627000032531,0.0,0.0,0.0,0.0,0.0,0.01913899000010133,52.24936112066026
2024-10-21 21:36:54.772588,root,maaxboardosm93,blaze_tflite,0.005320707000009861,0.00022133799996026937,0.00911004699997875,0.0060835590000465345,0.0,0.0,0.0,0.0,0.0,0.020735650999995414,48.22612031810437
2024-10-21 21:36:54.810591,root,maaxboardosm93,blaze_tflite,0.0053323750000231485,0.0004980950000117446,0.008151856999973006,0.005783385999961865,0.0,0.0,0.0,0.0,0.0,0.019765712999969764,50.59266012824985
2024-10-21 21:36:54.842779,root,maaxboardosm93,blaze_tflite,0.0052847069999870655,0.00025283899998385095,0.008182024999996429,0.005828678000000309,0.0,0.0,0.0,0.0,0.0,0.019548248999967655,51.1554768921582
